Sooo Manti Te'o was having a online/phone relationship with a guy pretendingto be a female -_-	Manti Te'o was having a relationship via telephone/internet with a man pretending to be female.	Manti Te'o was talkin' on the phone or computer with some fella pretendin' to be a gal.
In aver had a girl do that to me cause the kind nigga that I'm ambutI wish a bitch would	I have never had someone do that to me because I don't spend time with people like that. No one would ever try that with me	I ain't never had nobody do somethin' like that to me 'cause I don't hang around with folks like that. Nobody'd ever try that on with me.
I always wanted to have a girl that like basketball so we canbe like (LOVE & BASKETBALL)	I have always wanted to have a girl that likes basketball so that we canbe like, \"(LOVE AND BASKETBALL).\	I've always wished I had me a girl who loves her some basketball. That way, we could be actin' all, "(IN LOVE AND BASKETBALL)."
We Been up all night high n now the morning Here .goingto The store bbl twit	We've been up all night smoking marijuana/drugs and now the morning is here.  I am goingto the store be back later fool	We've been up all night smokin' us some marijuana/drugs, and now the mornin's here. I'm headin' to the store, be back later, fool.
Its like mogs wake up and say "hey I was popular in HS...I need to creatmy brand and get paid"...	It is like mogs woke up and said, \"Hey, I was popular in high school. I need to createmy brand and get paid.\	It's kinda like Moggs woke up one mornin' and said, "Y'all remember me? I was the cool kid in high school. I reckon it's about time I created myself a brand and started gettin' paid."
I fell asleep at 6 and I'm up! Smh I'm about to force myself bk tosleep! Work n the am!	I fell asleep at 6 and I'm up. Shaking my head. I'm about to force myselfe to go back tosleep! I have work in the morning	I dozed off at six and I'm wide awake now. Shakin' me head. I'm fixin' to make myself go back to sleep! I got work in the mornin'.
maybe he thought u as a woman should came out in middle of the nite andinvestigate before calling police? (sarcasmTone)	Maybe he thought you, as a woman, should have come out in the middle of the night andinvestigate before calling the police	Maybe he figured, bein' a woman an all, you oughta have went out there in the dead of night an investigated yourself before callin' the cops.
When ppl look at they pix of just a few years ago and pretend they don'tnotice a significant aging <	When people look at their photographs from just a few years ago and pretend they don't notice that they've aged significantl	When folks take a gander at their old pictures from just a few years back, and act all casual like they ain't seen the signs of them aging considerable.
Ok, so I think im on the train with the Zeta that Became a Sgrho a few years later(yes u read dat right)	Okay, so, I think, I'm on the train with the Zeta that became a Sigma Gamma Roe a few years later.(Yes, you read that right)	Alrighty then, I reckon I'm on the train with that Zeta fella who turned into a Sigma Gamma Rho a few years back. (Yep, it's quite the tale!)
I UNDERSTAND I BE MAD TO IF BL DO SUM SHIIT LIKE THAT BT. . . .BOTH Y'ALL NEED TO STOP . .Y'ALL GOT A BABY NOW	I understand why you are mad; I would be too if someone treated me like that. It has to stop. You have a child now.	I get why you're all riled up; I'd feel the same way if somebody done treated me that way. But it needs to end. You got yourself a little one now.
he ain't GOTTA do ish...she chose to stay now she may as wellaccept this role or nada	He doesn't have to do anything.  She chose to stay, now she might as wellaccept this role or nothing	He don't have to do nothin'. She decided to stick around, now she might as well go along with this here part or nothin' at all.
but soon as you lay your hands on me that's different ima fighting you cause you disrespectingme not ova no boy	But as soon as you lay your hands on me, that is different. I will fight you because you are disrespectingme over a boy.	But as soon as you touch me, that's a whole different ball game. I'll fight ya cause you disrespecin' me 'bout some boy.
All I want is tenants dat I don't have to babysit and checkup on for my rent!	All I would like is renters that I don't have to worry about and askfor my rent payment	All I wants is tenants that ain't gonna give me no trouble and gon' pay their rent on time.
You might living in a Taliban occupied country. I hear theyreally hate seeing happy women!	You might be living in a Taliban-occupied country. I hear theyreally hate seeing happy women	You might be livin' in a country where the Taliban's taken over. Folks say they don't take kindly to seein' happy women around there.
Mogs take this winter bundle up 2 serious...this best time to tone up and killem when it get warm...	The alpha male of group takes this winter bundle up too serious.  The best time to take out a gun and killthem when it gets warm out like the Summer season	The lead dog in that pack takes this here winter pack mighty serious. The finest moment to haul out a gun and pop 'em when it warms up, like during the Summertime.
It's because of the cost of gas that innovations in renewable energyand few efficiency have occurred!	It is because of the cost of gas that innovations in renewable energyand few efficiencies have occurred	It's the high price of gas what's makin' folks come up with new ways of renewable energy and find a few ways to save on fuel.
Been on this coming up on 10 years and it's crazy seeingwhat time does to ppl	Been on the this for about 10 years and it is crazy seeing what time does to people.	I've been sittin' hereabouts for 'bout ten year now, and it's a real sight seein' how time can change folks.
It would've been nice if they would've told me the Praise and Worshipsong like before this morning...lol	It would've been nice if they would've told me the Praise and Worshipsong, like, before this morning... that's funny	It'd a been real sweet if they would've shared that Praise and Worship song with me, I reckon, 'fore this mornin'. That's kind of humorous.
I'm doing 2 much this winter so I can stunt forthe summer...I'm such a nigger	I am doing too much this winter so that I can stunt forthe summer. I am such a black man.	I's doin' way too much durin' this winter, so I can put on a show for the summer. I's jus' such a black man.
"Do I get a Drink with my meal?" Lol yo this can't be herfirst time in Subway yo.....	\"Do I get a drink with my meal?\" That's funny, this can't be herfirst time in Subway..	"Do I get me a drink with this here meal?" Lawd, I reckon that ain't her first rodeo in Subway.
who dissed Trinidad? And why would he respond? He isn't a "rapper" sohe says (we all agree)	Who disrespected Trinidad? And why would he reply? He isn't a rapper,that's what he says, anyway. (we all concur	Who in the world showed no respect to Trinidad? I reckon he'd answer back, but lemme tell ya, he ain't no rapper, that's what he claims, anyhow. (We all agree.)
Good Morning!! Ask Jesus to protect you from all forms and the Spirit of "Catfish"do it right now Jesus!	Good morning! I ask Jesus to protect you all from all forms and the spirit of \"Catfish.\"Do it right now, Jesus	Good mornin'! I's askin' Jesus to watch over each an' every one of y'all. Protect y'all from all kinds and the spirit of "Catfish." Do it right now, Jesus.
Clearly this fuck my frat day...cuz lawd have mercy! Niggaz can't let me not beignant 07 during achievement week!	Clearly my fraternity is having bad luck, because oh my goodness! People can't allow me to be ignorant during my achievement week	Clearly my frat's havin' a rough time, 'cause gosh darn it! Folks won't let me be willfully ignorant durin' my achievin' week.
My Principal and half of my co workers are leaving work early to go to the Ravens Parade...?? How is thatsuppose to work yo? Lol	My principal and half of my co-workers are leaving work early to go to the Ravens Parade.  Hey, how is thatsupposed to work?  Ha, ha	My principal and half of my work buddies are leavin' early from school to go to the Ravens Parade. Heck, how's that s'posed to work? Haha, haha.
The principal just ask me to play some " Kirk Franklin".......? At the school dance?? Yohe can't be serious yo.....	The principal just asked me to play some Kirk Franklin.  At the school dance?  Wow,he can't be serious	The principal jus' asked me to play some Kirk Franklin at the school dance. Lawd, he ain't for real?
Was asked to play the Star Spangled Banner at a Wizards home gamein 2 weeks....should be fun.	Was asked to play the Star Spangled Banner at a Wizards home gamein two weeks... Should be fun	Were asked to play the Star Spangled Banner at a Wizards home game in two week's time... Gonna be a good time.
Sooo how the Sigmas feel about Morris Chestnut throwing up the hooks in Best Man 2 tho? I bethe felt great doing it	So how do the Sigmas feel about Morris Chestnut throwing up the hooks in Best Man 2 thought? I bethe felt great doing it	So how do them Sigmas feel 'bout Morris Chestnut throwin' up the hooks in Best Man 2, though? I reckon they felt right fine doin' it.
Umm first of all....people don't have strong paper plates at their cookouts....that's whyI bring the good ones!!	First of all, people never provide strong paper plates at their cookouts.I always bring the best kind	Now y'all listen here, folks don't usually bring no good sturdy paper plates to their barbecues. I always gotta bring the best kind mahself.
I know I have hella big girl slander on twitter, but yall ain't een know dat my female BFF is a big girl...andon twitter so Fuck Yall	People are being rude to me on twitter saying I do not like big girls but my very best friend is a big girl. Please leave me alone	Folks is actin' disrespectful towards me on twitter, claimin' I don't care for big women, but my dearest pal is a big gal. Y'all just back off from me now.
Kobe need 2 keep gum in his damn mouth..lmao. Let me get off Kobe,he still got dat shit.	Kobe needs to keep the gum in his mouth. I laugh about it, but let me move on from him.He is still just as talented	Kobe gotta keep that bubblegum in them lips. I jest 'bout it, but lemme change the subject from him. He's still just as gifted.
Im Honest About Shit It Aint NoReason To Lie Be Grown BoutThe Shit I Hate Liars	I am honest about shit; there is no reason to lie. Be grown about it. Shit, I hate liars	I'm straight-up about that business; ain't no need for fibs. Act your age 'bout it. Shit, I can't stand no liars.
it took my female BFF to tell me "yea ya girl tripping but let her ride this spell out den shegonna be all sorry nshit..."	It took my best girlfriend to tell me \"I know your upset, but let some time pass and then shewill feel sorry that this happened...\	My best gal pal had to sit me down and say, "I know you're hurt, but give it some time. She'll come around and feel bad that this happened..."
baltimore i definitly showing yall mad love cant wait for thia game tomorow prayingfor the team GO RAVENS	Baltimore is definitely showing you all mad love. I can't wait for the game tomorrow. Prayingfor the team. Go Ravens	Baltimore's showin' y'all some real crazy affection. Can't hardly wait for that game tomorrow. Keep on prayin' for the team. Go Ravens!
But I recognize shit happens and if I don't achieve it, it was out of my power den...cuz imma do everything Ican to get it done	I recognize shit happens, and if I do not achieve it, it was out of my power. Then I am going to do everything I can to get it done.	I reckon stuff just goes wrong sometimes, an' if I don't manage to make it happen, then it was beyond my control. But then I'm gonna put every last bit of effort into makin' it happen.
Just cuz u wanna be cool with me, don't mean Iwanna be cool with u...	Just because you want to be friends with me, doesn't mean I want to be friends with you..	Just 'cause you wanna be pals with me, don't figure I wanna be pals with you neither.
¡Slow Nigga, Whn I Dont Call Yu Backk Tht Meanz STOP FuckinCallin Me!!>> {"VOICEMAIL FULL SMH"}	Slow down, black man. When I do not call you back that means stop fuckingcalling me. Voicemail is full; shaking my head	Hold up there, brother. Me not returnin' your calls means quit on with the phone ringins'. My voicemail's full and I'm just shakin' my head.
she then promptly got broken up with by her lame boyfriend she thoughtshe could pressure into marriage	She then promptly got broken up with by her lame boyfriend she thought that she could pressure into marriage	After that, he went and broke up with her in a real quick hurry. That boyfriend of hers, she thought for sure she could push him into marryin' her. But no sir, he wasn't havin' it.
Hate Whn A Men Say Thy L O V E M E Cause I Really Hate Sayin It Back IfI Really Dont Love Thm...	I hate when a man says he loves me because I really hate saying it back to him ifI don't really love him	I can't stand it when a man tells me he loves me 'cause I sure do hate sayin' that back to him if I ain't got the feelin' for him.
Fuck picnics (except niggaQ) Fuck Clubs (Maybe VirgoBash if the homies peace dat out) Just RedCups and my living room	Fuck picnics (except black man). Fuck clubs; maybe VirgoBash if the homies peace that out. Just redcups and my living room	I hate picnics, except for Black men. I don't like clubs, but I might go to VirgoBash if my friends approve. All I need are red cups and my living room.
I'm not gon be in the house all day.. even if I do be stuck in this bitch,Ima be in here with	I'm not going to be in the house all day. Even if I am stuck in here,I'm going to be in here wit	I ain't gonna be sittin' in the house all day long. Even if I'm cooped up in here, I'm still gonna be in here wit somethin'.
---> At work: Damn it’s only 1 o’clock?!?! At home on your day off:Damn its already 1 o’clock?!?!?"	At work: Damn, it's only 1 o'clock?! At home on your day off:Damn, it's already 1 o'clock?	At the job: Dang, it's just 1 o'clock?! At home on your day off: Dang, it's already 1 o'clock?
The Fact that someone announced that whoever left their son in the car playing on a IPad &needs tocome out. ppl priorities bent	A store had to announce that someone left their son in their car playing on an IPad and that the parent needed tocome out to get him. People's priorities are misplaced	A shop had to put up a notice sayin' somethin' like this: Somebody left their boy in their car playin' on an IPad. The mama or papa needed to come out and get him. People got their priorities all mixed up.
3 dudes in the room. One is a QUEEN. oh ok. What y'all doin?" We know what they was doing, but heain't gonna say it doe	There were three men in the room. Actually one is a woman. What are they doing? I think we know.He will never admit to it.	In that there room thar was three fellas. Fact is, one of 'em's a woman. I reckon they're up to somethin'. Truth be told, we might know what it is. But he'll neva admit to it.
Why is it! 1:30am and you paid for VIP parking and gave your son a Ipad to hold him over til your drunka#* finish having it up#Ghet	I'm upset with you. It's 1:30AM and you paid for Very Important Person parking and left your son with an Ipad to keep him occupied while you got drunkand partied.  This was irresponsible	I'm real mad at ya. It's 1:30 in the mornin', and you went and spent good money on that VIP parkin', and left your boy back home with just an Ipad to keep him entertained while you went out drinkin' and partying. That there was real irresponsible of ya.
The worst thing could have ever done was to take NBQ Wings off themenu TF was they thinking	The worst thing that could have ever been done was to take NBQ wings off themenu, the fuck were they thinking	The most uncool thing that could've happened was to remove NBQ chicken wings from the menu, what in tarnation were they thinkin'?
Leaving work and letting it be known I gotta Dub onwhat eva Gallon yall talmbout!	I am leaving work and letting it be known that I have to dub on what ever Gallon you all are talking about	I'm headin' outta here at work, but I wanna make it clear that I gotta add on whatever Gallon y'all are talkin' about.
I wanted to see Chris in something a little different and more facial and head hair... But hes still Adorb!	I would like to see Chris wearing a different outfit and with more hair on his head as well as faceBut he's still cute	I'd like to see Chris wearin' somethin' else and have more hair on his head and face, but he's still a cutie.
just know Banks be on bullshit...which is why I just avoiddem for my financing needs...	Just know that banks are full of it, which is why I simply avoidthem for my financing needs	Just remember that them banks is full of hogwash, which is why I just steer clear of 'em when it comes to my money needs.
YASSSS ! Turnin them good girls bad ... Well we been bad it just take the right oneto make the surface BOL	Yes! I'm trying to help them turn their lives around. We make bad choices and sometimes it only takes one right choice.That can completely turn your life around	Yessir! I'm just tryna help 'em get their lives back on track. We all make mistakes, but sometimes makin' that one good choice can change everything around for ya.
Hubby just said get out of the way I'm a cook. So I'm amove. DO YOUR THING, HONEY.	My husband just said, \"Get out of the way.  I'm a cook.\"  So I'mmoving.  Do your thing, honey	My husband jus' said, "Git outta my way. I'm a cook." So Ah's movin'. Do yore thang, honey.
Some girls are sneaker heads, while im just a high heel head lmao if that makes sense?"THIS IS WHYI LOVE YOU. Same here.	Some girls are sneaky while I am just a high-heel head, laughing my ass off. Does that make sense? This is whyI love you. Same here.	Some gals can be sneaky, but I'm just all about them high heels, laughin' my socks off. That all make sense? Guess that's why they say we're kindred spirits. Yessiree, same here.
lmfao, ummmm yessss of course. Layah won't go tho. She gets mad looking at me eat, bc she has no teethyet. my poor bby.	Laughing my fucking ass off, yes, of course. Layah won't go though. She gets mad looking at me eat because she has no teethyet. My poor baby	I'm laughin' mah damn fool head off, yeah, for sure. But Layah ain't gonna go neither. She gets all mad lookin' at me eatin' 'cause she don't have no teeth yet. Poor thing.
I wanna bell pepper , ham owe I can't finish the rest ! thanksgiving Wea are you ?"meeither I can taste it	I want a bell pepper and ham. I cannot finish the rest! Thanksgiving, where are you?I can taste it.	I wanna have me a bell pepper and a ham. Can't finish the remainders! Where ya at, Thanksgivin'? I can taste it.
Ppl kill me u walking around here with new shit but ur can't getur child anything thing new	People kill me.  You're walking around here with new stuff but you can't getyour child anything new	Folks be killin' me. You're walkin' 'round here with all this new stuff, but you can't get your kid nothin' new.
Went to the casino Thursday had 11 drink and been sick every since and I have ahospital job interview tomarrow am	I went to the casino on Thursday and had 11 drinks. I have been sick since then and I have a job interview at the hospital tomorrow morning.	I went on over to the casino 'bout Thursday an' had me eleven drinks. I've been feelin' under the weather ever since. Tomorrow mornin', I gots myself a job interview at the hospiatal.
I get half way dressed and then I lay back in my bed so when my mama calls up here at like 7:40 Nd ask whatI'm doing I'm getting dressed	I get almost completely dressed and then I lay back down in bed. I know my mom will ask question me.I can tell her I am getting dressed	I near 'bout gets fully dressed, but den I lays mahself back down on the bed. I knows mah mom'll be askin' questions. I can tells her I's gettin' dressed.
I got clothes. I got hella shit. I just choose to look like abum 96% of the time	I have clothes. I have a lot of shit. I just choose to look like a bum 96% of the time	I got me some clothes on. I got a whole heap of stuff, but I chooses to wear rags and look like a hobo most of the time. (96% of the time)
I am grateful for a purposeful and joyful God who never forsakes us and whose works are abeautiful wonder to my soul.	I am so thankful for a God who is purposeful and who never forsakes us. My God is a beautiful wonder to my soul	I'm plumb grateful fer a God that's got a plan an' never leaves us high an' dry. My God's a purty wondrous thing to my soul.
Ummm Boo try to go for a gown and not club dress or "meetingthe parents" look please ...	Honey, try to wear a gown and not a club dress for a \"meetingthe parents\" look please.	Sweetheart, you oughta wear a fancy gown instead of that club dress when you go meet the folks, ya hear?
Dear the enemy of my enemy will never be my friend playing defenselike that. Sincerely, a fan.	Dear, the enemy of my enemy will never be my friend when playing defense like that. Sincerely, a fan.	Dear Sir, the person what's agatin' my enemy ain't never gonna be my buddy when we playin' defense like that. Sincerely, a supporter.
I asked for 2 wings and guess what Popeyes took it upon themselves to throw in the box one big assdry breast and a wing	I asked for two wings, and guess what? Popeyes took it upon themselves to throw in the box one big assdry breast, and a wing	I asked Popeyes for two wings, but looky here, they went and put somethin' extra in the box. One big dry as breast, and an unexpected wing.
Saying you got a girl in the club is like speaking SPANISH!!!!!These hoes don't hear that	Saying you have a girl in the club is like speaking Spanish!Those hoes do not hear that	Sayin' you got a gal in the club is like speakin' Somethin' fancy like Spanish! But them gals in the club don't heed that.
I agree, but the finish product is always DOPE! you got it." I try brobro... Love on the love	I agree, but the finished product is always dope. You have got it. I will try, brother,brother. Love on the love	I reckon that's right, but the final outcome is always somethin' cool, man. You got it. I'll give it a shot, brother. Keep on lovin', man. Love is in the air.
Headed to see Disney on Ice ... My niece is so excited !She wont stop saying how Mickey, Minnie, Daisy, and Donald Duckgonna say hi to her	We are headed to see Disney on Ice. My niece is so excited! She won't stop saying now Mickey, Minnie, Daisy, and Donald Duckare going to say 'hi' to her.	Us be headin' over yonder to see Disney on Ice. My neice is just plum tickled about it! She can't seem to stop sayin' now Mickey, Minnie, Daisy, and them Donald Duck folks is gonna holler 'hi' at her.
I knew the i was cut from was hella dif from thenorm a long time ago...	I realized that I was very different from the normal type a long time ago	I come to find out that I was real purty different from them regular folk way back when.
This Lady McDonald's bag ripped ad fell onto the sidewalk&all she can do was look puzzled and try to clean itup.while birds flooded to it	This ladies' McDonald's bag ripped and fell onto the sidewalk. All she can do is look puzzled and try to clean itup while birds flooded to it.	That there lady's McDonald's sack busted open and dropped on the sidewalk. All she's got the energy for is standin' there perplexed and tryin' to sweep it up, but them birds swarmed in before she could finish.
Too many Peter Gunzs in the World... Marry the Side Bish? It'slike riding on 3 rims	Too many Peter Gunz's in the world... Marry the side bitch? It's like riding on three car rims	There's just too many Peter Gunz's goin' around... Should I marry that side chick he's got? It's kinda like ridin' on three flat tires.
Running out on your favorite lotion and forced to use the lotionwith the strongest perfume fragrance	There's nothing worse that running out of your favorite lotion and needing to use one you don't like.It has a stronger perfume smell than anything else.	Ain't nothin' more disappointin' than runnin' out of yer favored lotion and havin' to make do with one that don't sit right with ya. It got a stronger perfume scent than anythang else.
THERE IS NO FUCKING WAY "AsL" mean "As Hell" I refuseto think this is right!	There is no fucking way \"AsL\" means \"As Hell.\" I refuseto think this is right	There ain't no way in hell "AsL" means "As Hell." I just can't wrap my head around that being true.
I Can't Love These Hoes They Make Weak , & I Can't Trust TheseHoes Cause These Hoes FREAKS!!	I can't love these hoes, they make me weak, and I can't trust thesehoes because these hoes are freaks	I can't seem to luv these here gals, they's makin' me weak, an' I can't trust these gals 'cause these gals is some kinda freaks.
Plans definitely changed tonight will be dedicated to Bey I will betuned into Opera and HBO	Plans have definitely changed tonight. It will be dedicated to Bey. I will betuned into Opera and HBO on the TV	Plans has for sure shifted tonight. Gonna be all 'bout Bey. I'll be gettin' tuned up into Opera and HBO on the telly.
Sign Me!! im the C.E.O of My Own Record label!  .. iCan Sign Niggas and Myself!	Let me sign this contract!! I'm the Chief Executive Officer of my own record label! I can sign anyone including mysel	Let me put my John Hancock on this here contract!! I'm the big boss man, the CEO of my very own record label! I got the power to sign anybody, even little ol' me!
Its thursday soo ummm Aint nobody got time for Popeyes and that nonmon-weds. Special Menu prices ...lol	It is Thursday. So, nobody has time for Popeye's and their non- Monday through Wednesday special menu prices. Laugh out loud. Monday through Wednesday special menu prices. Laugh out loud.	It's the Thursday now. So, folks don't got no time for Popeye's and their non-special menu prices on Thursdays through Wednesdays. Hee-haw. Non-special menu prices on Thursdays through Wednesdays. Hee-haw.
Why the fuck is Senai bday tomar? My bed is the only thing I need right now"hedont believe in bdays lls	Why does her birthday have to be tomorrow? All I need right now is my bed.I don't believe in birthdays	Why does it hafta be her birthday tomorrow? Ain't got nothin' right now but my bed. Don't believe in birthdays neither.
dat don't count if u gotta 9 to 5...cuz we all struggling to stay work past10 on a school nite	That doesn't count if you work from 9:00AM to 5:00PM, because we are all struggling to keep working past10:00PM on a school night	That don't add up if you work from 9:00 in the mornin' to 5:00 in the evenin', 'cause we's all fightin' to keep goin' past 10:00 at night on a school night.
THE COWBOYS SEASON OVER THEY CORNERS GETTIN COOKED LIKE LAMB GRYO MEAT ON THAT POLEUNDER THAT 300 DEGREE LAMP!!	The Dallas Cowboys' season is over.  Their corners are getting cooked like lamb gyro meat on that poleunder that 300 degree lamp	The Dallas Cowboys' football season is done. Their cornerbacks are gettin' burnt up like them lamb kebabs on a stick under that 360 degree light.
jus got a new bitch she niccceee"I miss you so much, I'll seeyou later " fo sho	I have a new girlfriend who is so nice. I miss her so much.I'll see her soon for sure	I got me a new gal that's real sweet. I do miss her somethin' fierce. But don't you worry, I'll be seein' her real soon, for sure.
I'm bout to watch game off this tequila so u know imma bethe loud nigga laughing! Lol	I'm about to watch the game after getting drunk on tequila, so you know I will bethe loud guy laughing!  Ha, ha	I'm fixin' to watch the game after gettin' plastered on tequila, so you know I'll be that rowdy fella laughin'! Hee-haw, hee-haw.
Im goin to a wizards game real soon and slap randy whittman and sam cassel thefuck out this roster terrible	I'm going to a Washington Wizards game soon, and I am upset that Randy Whittman and Sam Cassell arestill on the team. They are terrible	I'm fixin' to go see a Washington Wizards basketball game real soon now. But I'm mighty disappointed 'bout Randy Whittman and Sam Cassell still be on that team. They're just awful.
This is fuck shit dats gonna get 49ers some wind back...Iseen these liteskin tricks before!	The 49ers are going to get some momentum back with this.I have seen those actions from white people before.	The 49ers is fixin' to get some mojo back with that business. I done saw them kinda actions comin' from white folks afore.
*sigh* every middle class nigga gonna get dat base model of BenzCLA later this year watch..m	All the middle class people will buy that same model of Benz.By the end of the year they will, I bet	By the end of this year, all them middle class folk is gonna buy that very same Benz model. I'll put my money on it.
how do 1 convince another that their RS should be a "Secret" and the otherperson agree tho??? im confused	How do I convince another that their relationship should be a “secret” and have the other person agree, though? I’m confused.	How do I make another person believe that our "special" relationship oughta be kept hidden from others, and get 'em to agree, even if I'm feelin' mixed up about it myself? That's a puzzler for sure!
I dislike so many of the Black Men that work downtown cuz they sooofucking lame as a whole.	I dislike so many of the Black men that work downtown because they are sofucking lame as a whole	I don't take kindly to all them Black fellas workin' downtown 'cause they come off as real unsophisticated and dull collectively.
Females blowin my life lls my mova aint speakin to me and my grandmovaaint speakin to me,,,females terrible	All the women in my life have stopped speaking to me. Even my mother and grandmother. They aren't speaking to me either. Women are terrible	All the women in my life done stopped talkin' to me. Not even mama and granny. They ain't speakin' to me neither. Women is something terrible.
that nigga john wall ballin jus tryin see if he can do it ere nite ye step on thefloor he could had 50	That black man, John, was just trying to see if he can do it every night he steps on thefloor. He could have had 50	That there black fella, John, was just ponderin' if he could manage it every single night when he sets foot on the floor. He mighta had fifty somethin' goin' for him.
money, career, etc don't knock the lame out a nig...I jus see em andshake my head down here	There is no amount of money or a job too great that would make it worth it.I can't believe that's how they are acting	Ain't no mount of money nor nothin' too big of a job that could make 'em act that way. Can't hardly believe it.
u aint gotta pay dat high ass price if u use (she like a Master in Taxcuz her degrees say so)	You don't have to pay such a high price for help with your taxes. She is qualified.She went to school and has a degree	You don't have to fork over that much dough for tax help. She knows her stuff. She studied and got herself a college degree.
10 niggas.... You gone fight 10 niggas for yo nigga.. Suicide"I Said The Sam Thing	10 men... you are going to fight 10 men for your man... Suicide.\"I said the same thing	10 fellas... you's gonna have a scrap with 10 fellas for your man... That there's suicide business. I said the exact same thing.
I Need To Stop Letting People Eat Out My House. Once You Feed ASquirrel They always Come Back.	I need to stop letting people eat at my house. Once you feed a squirrel they always come back.	I got to quit allowin' folks to eat at my house no more. Once you give a bite to a squirrel, they'll keep comin' back.
I Know I'm Not Ugly But DAMN! Can a Bitch Get SomeType Of Affection Or Nah?	I know I'm not ugly but damn! Can a bitch get some type of affection or no?	I reckon I ain't no pig, but dang it all! Ain't there somethin' or someone that can give this here gal some kind of love or attention?
The bitching I did 2 my bank to get 20 bucks put back into my accountwas petty as fuck lol	I had to complain to my bank a lot to get my $20 back.They were being really difficult	I had to bitch an' moan to the bank a heap of times to git that twenty dollas back. They was actin' real stubborn 'bout it.
Beloved Lavette in the love of Christ, I'm suggesting that you check your spiritual temp because yourcoming off fake and judgemental.	Beloved Lavette, in the love of Christ, I'm suggesting that you check your spiritual temperature, because you're coming across as fake and judgmental	Darling Lavette, in the name of the Lord, I'm advisin' you to take a good look at your spiritual self, 'cause you're seemin' mighty insincere and critical to me.
Sooo I picked up a Telemarketer call and 1st words out my mouth was "now see don't chuwish u stayed in college?"	So I picked up a telemarketer call and the first words out of my mouth were “Now, see? Don’t youwish you stayed in college?”	So I answered the phone when it rang and the very first thing this telemarketer said was "Ain't that the truth? Wish y'all hadn't dropped out of college?"
Bitch sit ur ass down somewhere b4 I make u drink ur own blood I make more money then her I haveNO REASON 2 HATE! SUCKaDICK	You should sit down and stop doing what you are doing before I hurt you. I make more money than she does, and I do not have any reason to resent that. You should suck on a penis	You better take a seat and quit your ways before I lay a hand on ya. I bring in more dough than her, and I ain't got no beef about it. You best go suck on a dick.
aye JUST like i predicted...he say he noticed my bag andsaid "Gomab" i was confused	It's just like I predicted. He noticed my bag. I was so confused because he said I should get out	It's jus' like I figged it. He seen my sack. I wuz so baffled 'cause he said I shou'd git out.
everything I have. I am greatful for it all. My family, friends, my life, love.. and thislist will keep going 	Everything I have, I am grateful for it all. My family, friends, my life, love.. and this list will keep going	Everythang I got, I's mighty thankful fer it all. My fambly, frens, mah life, luv... an' dis list'll jus keep on goin'.
people send those one word text messages. If it is less than 5 words then keep itto yourself lol ;-) 	If you're going to send a text message, please make sure you send more than just one word! I don't need a message with less than five words!You can keep that word to yourself.	If y'all gonna send a text message, please see to it that you send more than just one word! Ain't no need for a message with less than five words! You can keep that word to yo'self.
I only know a small hand full of cute(and slim) zetas too...so that rs between thetwo makes total sense lowkey	I only know a few zetas who are cute and slim. That's all I can think of right now. That makes a little bit of sense.	I don't know but just a few of them Zetas I knows is right purty and real thin. Tha's all I can come up with at this moment. Makes a lil' sense, it does.
Texting And Laughing With A Old Friend I Missed Him So Much Glad To Know That He Is HappyAnd In Goof,Faithful Relationship ❤❤	Texting and laughing with an old friend. I missed him so much. Glad to know that he is happyand in a good, faithful relationship.	Textin' and haw-hawin' with an ol' buddy. Lord, I did miss him somethin' fierce. Ain't nothin' like hearin' that he's doin' well and in a good, solid relationship. He deserves all the happiness in the world.
What i also seen is Vacay pix of clearly the same place but NO pix postedtogether (ive dont it lbs)	What I also see are vacation pictures of clearly the same place, but no pictures postedtogether (I've done it)	What I'm lookin' at here are them vacation pics, and it's plain to see they're all from the very same place. But not a single one of 'em has been posted side by side with another (I've done that too).
mogs gonna be mad but yes...I don't remember Mike cooking at this kind of efficiency overthis long of a stint...	Mogs is going to be mad but I don't remember Mike ever cooking this well.This has lasted so long.	Mogs gon' be mighty pissed off, but I can't recollect Mike cookin' this good 'fore. This here's been goin' on for quite a spell.
Chiaaaaa hiver de cet annee la bougo des faoncon il neige pas la cecome sa il fait froid	Winter this year hasn't been too bad until now. It is so cold outside	This winter ain't been too terrible till now. But it's doggone freezin' out yonder.
I don't know who blackmailed the Pope but it musta been some guys with big money and powerin world with crazy evidence.	I don't know who blackmailed the Pope but it must been some guys with a lot of money and powerin the word with a lot of evidence.	I don't reckon I know who done that blackmail business with the Pope, but it had to be some high-rollin' fellas packin' a heap of moolah and powah in the world, with a whole lotta proof.
The fucked up thing about religion is that it is based on interpretation, and people's intentionsare often biased & questionable.	The fucked up thing about religion is that it is based on interpretation and people's intentionsare often biased and questionable.	The real messed up thing 'bout religion is that it's all based on interpreting what folks believe, and people's intentions ain't always pure and trustworthy.
These Babies are the Crack Babies Babies...and even my professional problem solving ass don't knowwhere to begin 2 help	These children, are the children of parents whose parents were on drugs, and even though I have professional problem solving experience, I don't knowhow to begin to help them	These here kids, they be the kids of mamas an' papas whose mamas an' papas was on drugs. Now, I got professional problem solvin' experience, but I just don't know where to start in tryin' to help 'em.
